issue_id,created_at,closed_at,labels,rank,snapshot
5730,2024-11-26 23:23:11+00:00,2025-01-04 03:06:02+00:00,bug;p2,1,2025-01-01 00:00:00+00:00
5753,2024-12-16 09:32:36+00:00,2025-01-14 21:05:46+00:00,bug;response-requested;closed-for-staleness;p2,2,2025-01-01 00:00:00+00:00
5710,2024-11-13 14:50:31+00:00,2025-01-15 00:25:53+00:00,bug;closed-for-staleness;crt-client;p2,3,2025-01-01 00:00:00+00:00
5828,2025-01-27 21:11:32+00:00,2025-02-02 00:27:37+00:00,guidance;closed-for-staleness,1,2025-02-01 00:00:00+00:00
5848,2025-01-31 15:26:15+00:00,2025-02-17 21:05:44+00:00,bug;closed-for-staleness;p2,2,2025-02-01 00:00:00+00:00
5917,2025-02-28 22:17:24+00:00,2025-03-03 22:57:26+00:00,bug,1,2025-03-01 00:00:00+00:00
5846,2025-01-31 05:49:17+00:00,2025-03-05 17:57:13+00:00,bug;needs-triage,2,2025-03-01 00:00:00+00:00
5754,2024-12-17 10:00:09+00:00,2025-03-07 18:08:08+00:00,feature-request;closed-for-staleness;p2,3,2025-03-01 00:00:00+00:00
5915,2025-02-28 10:30:45+00:00,2025-03-11 08:08:46+00:00,bug;response-requested;closing-soon;p2,4,2025-03-01 00:00:00+00:00
5857,2025-02-04 12:32:55+00:00,2025-03-12 18:08:30+00:00,bug;response-requested;closed-for-staleness;p2,5,2025-03-01 00:00:00+00:00
5969,2025-03-12 07:13:04+00:00,2025-04-02 21:06:09+00:00,bug;response-requested;closed-for-staleness;p2,1,2025-04-01 00:00:00+00:00
5973,2025-03-19 11:26:27+00:00,2025-04-03 03:18:59+00:00,bug;response-requested;closed-for-staleness;p2,2,2025-04-01 00:00:00+00:00
5974,2025-03-20 11:19:01+00:00,2025-04-05 00:27:37+00:00,documentation;closed-for-staleness,3,2025-04-01 00:00:00+00:00
5987,2025-03-25 14:53:16+00:00,2025-04-13 21:06:16+00:00,bug;closed-for-staleness;p2,4,2025-04-01 00:00:00+00:00
5981,2025-03-24 11:31:47+00:00,2025-04-14 18:08:43+00:00,bug;response-requested;closed-for-staleness;p2,5,2025-04-01 00:00:00+00:00
5923,2025-03-04 14:20:42+00:00,2025-05-02 20:36:43+00:00,bug;p3,1,2025-05-01 00:00:00+00:00
5881,2025-02-12 15:59:41+00:00,2025-05-02 23:12:15+00:00,bug;p2,2,2025-05-01 00:00:00+00:00
6060,2025-04-25 14:30:57+00:00,2025-05-06 17:50:48+00:00,bug;response-requested;p2,3,2025-05-01 00:00:00+00:00
5831,2025-01-28 14:25:35+00:00,2025-05-07 00:29:59+00:00,bug;response-requested;closed-for-staleness;p2,4,2025-05-01 00:00:00+00:00
6045,2025-04-18 00:48:51+00:00,2025-05-16 03:25:28+00:00,bug;response-requested;closed-for-staleness;p2,5,2025-05-01 00:00:00+00:00
5635,2024-09-30 11:33:20+00:00,2025-06-02 21:19:42+00:00,bug;p2,1,2025-06-01 00:00:00+00:00
6144,2025-05-30 08:23:27+00:00,2025-06-03 17:28:02+00:00,bug;response-requested;p2,2,2025-06-01 00:00:00+00:00
5978,2025-03-21 15:38:49+00:00,2025-06-06 15:15:16+00:00,documentation;p2,3,2025-06-01 00:00:00+00:00
6030,2025-04-14 13:58:21+00:00,2025-06-11 16:59:22+00:00,feature-request;p2,4,2025-06-01 00:00:00+00:00
5935,2025-03-06 03:36:15+00:00,2025-06-14 00:29:54+00:00,feature-request;closed-for-staleness,5,2025-06-01 00:00:00+00:00
5839,2025-01-29 18:37:05+00:00,2025-07-09 00:17:51+00:00,bug;p2,1,2025-07-01 00:00:00+00:00
5968,2025-03-18 14:49:55+00:00,2025-07-09 21:03:20+00:00,bug;p2,2,2025-07-01 00:00:00+00:00
6103,2025-05-14 13:53:26+00:00,2025-08-02 21:06:06+00:00,bug;service-api;closed-for-staleness;p2,1,2025-08-01 00:00:00+00:00
6287,2025-07-22 12:53:23+00:00,2025-08-06 00:33:58+00:00,bug;response-requested;closed-for-staleness;migration-tool,2,2025-08-01 00:00:00+00:00
6247,2025-07-09 21:17:36+00:00,2025-08-07 22:17:15+00:00,bug,3,2025-08-01 00:00:00+00:00
6288,2025-07-22 13:20:13+00:00,2025-08-08 21:06:24+00:00,bug;closed-for-staleness;p2,4,2025-08-01 00:00:00+00:00
5888,2025-02-18 20:35:51+00:00,2025-08-09 21:06:10+00:00,feature-request;closed-for-staleness;sqs-batch-manager,5,2025-08-01 00:00:00+00:00
6198,2025-06-19 21:29:40+00:00,2025-09-02 17:28:16+00:00,feature-request;p2,1,2025-09-01 00:00:00+00:00
6381,2025-08-27 22:50:54+00:00,2025-09-03 20:57:41+00:00,bug;response-requested;dynamodb-enhanced,2,2025-09-01 00:00:00+00:00
6386,2025-08-29 13:10:30+00:00,2025-09-03 21:05:34+00:00,bug;closed-for-staleness;p2,3,2025-09-01 00:00:00+00:00
5933,2025-03-05 23:27:34+00:00,2025-10-06 21:06:03+00:00,bug;response-requested;closed-for-staleness;p2;potential-regression,1,2025-10-01 00:00:00+00:00
6374,2025-08-27 00:22:05+00:00,2025-10-13 17:17:56+00:00,bug;p2,2,2025-10-01 00:00:00+00:00
6429,2025-09-17 20:44:30+00:00,2025-10-14 21:29:18+00:00,bug;closing-soon;service-api,3,2025-10-01 00:00:00+00:00
6414,2025-09-10 14:27:20+00:00,2025-10-27 20:51:52+00:00,bug;p2;proxy,4,2025-10-01 00:00:00+00:00
6526,2025-10-27 21:37:18+00:00,2025-11-03 22:53:24+00:00,response-requested;closing-soon;feature-request;dynamodb-enhanced,1,2025-11-01 00:00:00+00:00
6421,2025-09-15 22:02:47+00:00,2025-11-07 19:08:46+00:00,bug;p2,2,2025-11-01 00:00:00+00:00
6529,2025-10-29 06:15:43+00:00,2025-11-07 22:21:01+00:00,bug;p2,3,2025-11-01 00:00:00+00:00
5810,2025-01-17 20:30:52+00:00,2025-11-10 19:59:04+00:00,bug;p2,4,2025-11-01 00:00:00+00:00
6387,2025-08-29 18:34:49+00:00,2025-11-11 17:34:23+00:00,bug;p2,5,2025-11-01 00:00:00+00:00
5962,2025-03-14 17:36:53+00:00,2025-12-01 23:41:28+00:00,feature-request;p2,1,2025-12-01 00:00:00+00:00
6464,2025-10-07 07:50:06+00:00,2025-12-02 18:53:58+00:00,bug;p2,2,2025-12-01 00:00:00+00:00
6568,2025-11-14 17:09:30+00:00,2025-12-03 00:30:57+00:00,bug;response-requested;closed-for-staleness;crt-client;p2,3,2025-12-01 00:00:00+00:00
6407,2025-09-07 08:22:21+00:00,2025-12-11 01:02:52+00:00,bug;service-api;service:access-analyzer,4,2025-12-01 00:00:00+00:00
6297,2025-07-24 19:02:32+00:00,2025-12-14 00:35:48+00:00,bug;closed-for-staleness;p2,5,2025-12-01 00:00:00+00:00
