snapshot,issue_idx,issue_id,reward_practice,created_at,closed_at,labels
2024-11-01 00:00:00+00:00,0,5683,-0.01,2024-10-29 10:21:48+00:00,,bug;investigating;p2
2024-11-01 00:00:00+00:00,1,5682,-0.01,2024-10-26 19:50:22+00:00,2024-12-14 03:16:23+00:00,bug;closed-for-staleness;graalvm;p2
2024-11-01 00:00:00+00:00,2,5675,-0.01,2024-10-23 15:17:15+00:00,,feature-request;dynamodb-enhanced;p2
2024-12-01 00:00:00+00:00,3,5716,0.3333333333333333,2024-11-20 13:20:20+00:00,2024-12-07 03:18:51+00:00,bug;response-requested;closed-for-staleness;p2
2024-12-01 00:00:00+00:00,2,5719,0.2,2024-11-21 10:49:10+00:00,2024-12-10 21:05:58+00:00,bug;response-requested;closed-for-staleness;p3
2024-12-01 00:00:00+00:00,35,5464,0.16666666666666666,2024-08-05 09:27:31+00:00,2024-12-13 20:33:29+00:00,feature-request;p3
2024-12-01 00:00:00+00:00,0,5732,-0.01,2024-11-27 23:53:19+00:00,,bug;p2
2024-12-01 00:00:00+00:00,1,5730,-0.01,2024-11-26 23:23:11+00:00,2025-01-04 03:06:02+00:00,bug;p2
2025-01-01 00:00:00+00:00,26,5556,0.5,2024-09-04 20:30:35+00:00,2025-01-10 06:08:30+00:00,bug;response-requested;closed-for-staleness;p2
2025-01-01 00:00:00+00:00,0,5765,-0.01,2024-12-30 01:34:51+00:00,,feature-request;dynamodb-enhanced;p3
2025-01-01 00:00:00+00:00,1,5764,-0.01,2024-12-28 18:28:25+00:00,,bug;p2;ec2-metadata-client
2025-01-01 00:00:00+00:00,2,5755,-0.01,2024-12-17 22:37:54+00:00,,bug
2025-01-01 00:00:00+00:00,3,5754,-0.01,2024-12-17 10:00:09+00:00,2025-03-07 18:08:08+00:00,feature-request;closed-for-staleness;p2
2025-02-01 00:00:00+00:00,6,5828,1.0,2025-01-27 21:11:32+00:00,2025-02-02 00:27:37+00:00,guidance;closed-for-staleness
2025-02-01 00:00:00+00:00,0,5848,0.5,2025-01-31 15:26:15+00:00,2025-02-17 21:05:44+00:00,bug;closed-for-staleness;p2
2025-02-01 00:00:00+00:00,1,5846,-0.01,2025-01-31 05:49:17+00:00,2025-03-05 17:57:13+00:00,bug;needs-triage
2025-02-01 00:00:00+00:00,2,5840,-0.01,2025-01-29 18:48:14+00:00,,feature-request;graalvm;p2
2025-02-01 00:00:00+00:00,3,5839,-0.01,2025-01-29 18:37:05+00:00,2025-07-09 00:17:51+00:00,bug;p2
2025-03-01 00:00:00+00:00,0,5917,1.0,2025-02-28 22:17:24+00:00,2025-03-03 22:57:26+00:00,bug
2025-03-01 00:00:00+00:00,1,5915,0.25,2025-02-28 10:30:45+00:00,2025-03-11 08:08:46+00:00,bug;response-requested;closing-soon;p2
2025-03-01 00:00:00+00:00,2,5909,-0.01,2025-02-27 06:15:35+00:00,,feature-request;p2;migration-tool
2025-03-01 00:00:00+00:00,3,5891,-0.01,2025-02-19 07:44:25+00:00,2025-05-21 18:09:04+00:00,response-requested;feature-request;closed-for-staleness;p2
2025-03-01 00:00:00+00:00,4,5890,-0.01,2025-02-18 23:35:46+00:00,,bug;investigating;p2
2025-04-01 00:00:00+00:00,1,5987,0.25,2025-03-25 14:53:16+00:00,2025-04-13 21:06:16+00:00,bug;closed-for-staleness;p2
2025-04-01 00:00:00+00:00,2,5981,0.2,2025-03-24 11:31:47+00:00,2025-04-14 18:08:43+00:00,bug;response-requested;closed-for-staleness;p2
2025-04-01 00:00:00+00:00,0,5996,0.16666666666666666,2025-03-28 08:46:43+00:00,2025-04-16 21:06:05+00:00,bug;response-requested;closed-for-staleness;p3
2025-04-01 00:00:00+00:00,3,5980,0.125,2025-03-22 15:14:57+00:00,2025-04-24 13:43:28+00:00,bug;p2
2025-04-01 00:00:00+00:00,4,5979,0.1111111111111111,2025-03-21 18:02:45+00:00,2025-04-24 16:59:06+00:00,bug;documentation;p2
2025-05-01 00:00:00+00:00,0,6060,0.25,2025-04-25 14:30:57+00:00,2025-05-06 17:50:48+00:00,bug;response-requested;p2
2025-05-01 00:00:00+00:00,1,6045,0.16666666666666666,2025-04-18 00:48:51+00:00,2025-05-16 03:25:28+00:00,bug;response-requested;closed-for-staleness;p2
2025-05-01 00:00:00+00:00,3,6027,0.14285714285714285,2025-04-12 05:18:30+00:00,2025-05-17 00:29:22+00:00,bug;response-requested;closed-for-staleness;transfer-manager;p2
2025-05-01 00:00:00+00:00,4,6023,0.125,2025-04-10 21:11:49+00:00,2025-05-18 03:27:25+00:00,bug;closed-for-staleness;p2
2025-05-01 00:00:00+00:00,2,6030,-0.01,2025-04-14 13:58:21+00:00,2025-06-11 16:59:22+00:00,feature-request;p2
2025-06-01 00:00:00+00:00,53,5635,1.0,2024-09-30 11:33:20+00:00,2025-06-02 21:19:42+00:00,bug;p2
2025-06-01 00:00:00+00:00,0,6144,0.5,2025-05-30 08:23:27+00:00,2025-06-03 17:28:02+00:00,bug;response-requested;p2
2025-06-01 00:00:00+00:00,1,6143,-0.01,2025-05-29 22:00:52+00:00,,bug
2025-06-01 00:00:00+00:00,2,6141,-0.01,2025-05-29 18:07:46+00:00,,documentation;p2
2025-06-01 00:00:00+00:00,3,6129,-0.01,2025-05-23 14:15:27+00:00,,guidance;third-party
2025-07-01 00:00:00+00:00,3,6198,-0.01,2025-06-19 21:29:40+00:00,2025-09-02 17:28:16+00:00,feature-request;p2
2025-07-01 00:00:00+00:00,0,6218,-0.01,2025-06-28 16:07:50+00:00,,bug;duplicate
2025-07-01 00:00:00+00:00,1,6213,-0.01,2025-06-26 17:09:20+00:00,,feature-request;p2
2025-07-01 00:00:00+00:00,2,6199,-0.01,2025-06-20 08:16:01+00:00,2025-08-23 03:20:55+00:00,bug;service-api;closed-for-staleness
2025-07-01 00:00:00+00:00,4,6194,-0.01,2025-06-19 08:33:10+00:00,,feature-request;needs-triage
2025-08-01 00:00:00+00:00,3,6288,0.25,2025-07-22 13:20:13+00:00,2025-08-08 21:06:24+00:00,bug;closed-for-staleness;p2
2025-08-01 00:00:00+00:00,48,5884,0.16666666666666666,2025-02-17 12:55:31+00:00,2025-08-13 23:26:21+00:00,bug;p2
2025-08-01 00:00:00+00:00,0,6307,-0.01,2025-07-30 17:40:04+00:00,,bug;p2
2025-08-01 00:00:00+00:00,1,6302,-0.01,2025-07-28 20:16:12+00:00,,feature-request
2025-08-01 00:00:00+00:00,2,6297,-0.01,2025-07-24 19:02:32+00:00,,bug;p2
2025-09-01 00:00:00+00:00,23,6198,1.0,2025-06-19 21:29:40+00:00,2025-09-02 17:28:16+00:00,feature-request;p2
2025-09-01 00:00:00+00:00,3,6381,0.5,2025-08-27 22:50:54+00:00,2025-09-03 20:57:41+00:00,bug;response-requested;dynamodb-enhanced
2025-09-01 00:00:00+00:00,1,6386,0.3333333333333333,2025-08-29 13:10:30+00:00,2025-09-03 21:05:34+00:00,bug;closed-for-staleness;p2
2025-09-01 00:00:00+00:00,0,6387,-0.01,2025-08-29 18:34:49+00:00,,bug;p2
2025-09-01 00:00:00+00:00,2,6382,-0.01,2025-08-28 12:07:39+00:00,,bug;service:ec2;p2
2025-10-01 00:00:00+00:00,3,6429,0.3333333333333333,2025-09-17 20:44:30+00:00,2025-10-14 21:29:18+00:00,bug;closing-soon;service-api
2025-10-01 00:00:00+00:00,0,6448,-0.01,2025-09-26 09:37:38+00:00,,bug;p2
2025-10-01 00:00:00+00:00,1,6440,-0.01,2025-09-22 15:53:28+00:00,,feature-request;needs-review
2025-10-01 00:00:00+00:00,2,6435,-0.01,2025-09-20 05:01:02+00:00,,bug;needs-triage;dynamodb-enhanced
2025-10-01 00:00:00+00:00,4,6423,-0.01,2025-09-16 12:35:47+00:00,,feature-request;needs-triage
